epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7772,1.04352,3.02918,1.18401,0.00333,1,0.995,0.71613,0.83956,2.90471,0.85356,0.0001,0.0001,0.0001
2,49.0227,0.80897,1.75067,0.95875,1,0.98646,0.995,0.84933,0.5639,2.23202,0.82036,0.00020548,0.00020548,0.00020548
3,71.1452,0.73702,1.2457,0.92572,0.99626,1,0.995,0.76997,0.6932,2.03796,0.84344,0.00029512,0.00029512,0.00029512
4,91.9131,0.6719,1.12997,0.92592,0.99675,1,0.995,0.84604,0.65038,2.15802,0.83018,0.00036892,0.00036892,0.00036892
5,112.561,0.70655,1.08679,0.90266,0.99756,1,0.995,0.82023,0.68474,1.95286,0.82781,0.00042688,0.00042688,0.00042688
6,132.935,0.59865,1.44433,0.88267,0.99756,1,0.995,0.85592,0.60179,1.86803,0.82438,0.000469,0.000469,0.000469
7,153.624,0.70839,1.5587,0.91288,0.99552,1,0.995,0.85139,0.55613,2.05776,0.8076,0.00049528,0.00049528,0.00049528
8,174.644,0.60526,1.33174,0.86244,0.97459,1,0.99422,0.85156,0.59195,1.76268,0.82957,0.00050572,0.00050572,0.00050572
9,194.978,0.62298,1.23816,0.89058,0.99736,1,0.995,0.86175,0.57931,1.62637,0.82888,0.00050032,0.00050032,0.00050032
10,215.321,0.5916,1.19388,0.8915,0.99835,1,0.995,0.8454,0.59708,1.49433,0.82287,0.00047908,0.00047908,0.00047908
11,235.571,0.59666,1.13824,0.8672,0.99804,1,0.995,0.87461,0.55398,1.41595,0.81328,0.000442,0.000442,0.000442
12,255.831,0.60673,1.11055,0.85872,0.99637,1,0.995,0.87455,0.52708,1.39652,0.80572,0.00038908,0.00038908,0.00038908
13,276.137,0.54251,1.05228,0.85212,0.99865,1,0.995,0.87531,0.53157,1.26919,0.80639,0.00032032,0.00032032,0.00032032
14,296.215,0.51482,1.04869,0.86838,0.99895,1,0.995,0.87928,0.52924,1.15818,0.80704,0.00023572,0.00023572,0.00023572
15,316.664,0.53881,1.04594,0.863,0.99904,1,0.995,0.88501,0.52079,1.09395,0.80444,0.00013528,0.00013528,0.00013528
